iter	Passed	Remaining
986	11101	146
987	11112	134
988	11121	123
989	11131	112
990	11141	101
991	11151	89
992	11160	78
993	11169	67
994	11178	56
995	11188	44
996	11196	33
997	11203	22
998	11210	11
999	11217	0
